# 
# Coordonnées des stations du Réseau GNSS Permanent.
# Elles sont exprimées dans le système de référence légal français, c'est-à-dire :
#  - le RGF93, pour les stations situées en Métropole
#  - le WGS84, pour les stations situées en Guadeloupe et en Martinique
#  - le RGFG95, pour les stations situées en Guyane
#  - le RGR92, pour les stations situées à la Réunion
#  - le RGM04, pour les stations situées à Mayotte
#  - le RGSPM06, pour les stations situées à Saint Pierre et Miquelon
# 
# Après les 3 premières lignes d'en-tête, le format du fichier est le suivant :
#  - SITE      : [ %4s] L'acronyme de la station
#  - X,Y,Z     : [ %12.3f]x3 Les coordonnées cartésiennes exprimées en mètres
#  - lat       : [ %14.9f] La latitude exprimée en "deg.minsec" comptée positivement vers le nord
#  - lon       : [ %14.9f] La longitude exprimée en "deg.minsec" comptée positivement vers l'est
#  - he        : [ %9.3f] La hauteur sur l'ellipsoïde exprimée en mètres
#  - ha        : [ %7.4f] La hauteur d'antenne exprimée en mètres et mesurée depuis le repère jusqu'au plan de réferénce de l'antenne (ARP). La définition de l'ARP dépend du modèle d'antenne. Il est très souvent defini comme etant le BPA (Bottom of Pre-Amplifier)
#  - systeme
#    de ref.   : [ %9s] système de référence dans lequel sont exprimées les coordonnées
#  - statut de
#    stabilité : [     %1s] Le statut de stabilité annuel est un critère de stabilité à long terme (pour de plus amples informations http://rgp.ign.fr/STATIONS/statut_stab.php)
# 
# Ces informations sont valides à la date du 03/04/2018.
# 

 SITE       X            Y            Z            lat            lon          he      ha      systeme    statut de
           (m)          (m)          (m)       (deg.minsec)   (deg.minsec)     (m)     (m)     de ref.    stabilité
 MLVL  4201577.209   189859.856  4779064.567   48.502779751    2.351430796   160.461  0.0750     RGF93     A
 MNBL  4287062.946   511666.439  4679489.336   47.294500205    6.482206503   413.072  0.0000     RGF93     B
 MNTP  4612232.571   311932.927  4379804.535   43.384644092    3.520881928   104.039  0.0000     RGF93     B
 MODA  4470757.844   525990.897  4504955.275   45.124958812    6.423629470  1182.258  0.0000     RGF93     B
 MOFA  4137103.142    43194.579  4838160.299   49.391708042    0.355348698   188.433  0.0000     RGF93     B
 MOGN  4411067.830   370633.596  4576848.777   46.085377894    4.481048837   233.020  0.0000     RGF93     A
 MOMO  4140686.313   106260.320  4834180.068   49.355722128    1.281210695   214.144  0.0000     RGF93     B
 MONS  4387248.635   251859.001  4607620.542   46.325476183    3.170807200   312.983  0.0000     RGF93     B
 MORN  4462840.544    21228.838  4541714.584   45.413808417    0.162115294   231.086  0.0720     RGF93     B
 MPRV  4424476.940    40583.650  4578685.938   46.102050310    0.313191718   208.614  0.0000     RGF93     B
 MRON  4352245.946   484521.622  4623551.642   46.445004518    6.210863610  1367.407  0.0000     RGF93     B
 MSGT  4679573.605   133117.941  4318083.849   42.524658258    1.374594975   548.633  0.0000     RGF93     A
 MSMM  4583675.915   497926.721  4393485.940   43.483834809    6.115911798   797.775  0.0000     RGF93     B
 MSRT  4473661.469   118817.115  4530098.897   45.322911679    1.311695199   566.214  0.0000     RGF93     B
 MTBT  4221766.748   337006.588  4753353.688   48.292511930    4.335044622   227.088  0.0000     RGF93     N
 MTDM  4604447.896   -38966.409  4398804.142   43.525791632   -0.290553109   133.900  0.0000     RGF93     A
 MTMN  4403471.116    67565.250  4598401.391   46.254567620    0.524460341   179.619  0.0720     RGF93     B
 MTP2  4612850.067   311569.800  4379221.023   43.381952975    3.515079688   129.444  0.0000     RGF93     B
 MZAN  4579136.199   -97852.000  4423987.198   44.115468350   -1.132702168    78.080  0.0000     RGF93     B
 NARB  4650690.091   241500.760  4343635.011   43.115377778    2.582129485    72.764  0.0720     RGF93     B
 NAYC  4382180.752    30386.731  4618895.780   46.415236378    0.235024971   139.282  0.0000     RGF93     B
 NGER  4319039.732   -41298.146  4677470.016   47.281909509   -0.325221952   106.068  0.0000     RGF93     B
 NICA  4581809.283   581031.772  4384492.682   43.421174075    7.133812767   256.500  0.0000     RGF93     B
 NMCU  4338224.357  -121072.675  4658434.162   47.130906237   -1.355501615   115.834  0.0000     RGF93     B
 NMTR  4353566.008  -170563.924  4642572.060   47.003634377   -2.143690779    57.308  0.0000     RGF93     N
 NOGT  4254499.307   398270.767  4719841.531   48.020721515    5.205268490   453.160  0.0000     RGF93     B
 NOYL  4265603.768  -112247.370  4724792.414   48.061930982   -1.302650969   114.005  0.0000     RGF93     B
 NVPT  4383710.408    20281.887  4617560.864   46.404804297    0.155430794   177.141  0.0000     RGF93     B
 OISO  4261945.928   146571.017  4727242.963   48.081530457    1.581078261   193.029  0.0720     RGF93     B
 OPME  4455229.114   240489.378  4543528.319   45.424636763    3.052319915   707.994  0.0000     RGF93     B
 OPMT  4202777.622   171367.761  4778659.984   48.500930145    2.200576672   122.583  0.0000     RGF93     A
 OSAN  4669514.466   708901.047  4272464.476   42.192695868    8.375673522   254.354  0.0000     RGF93     B
 OTER  4363993.099    79076.964  4635418.833   46.545355767    1.021717589   154.735  0.0720     RGF93     B
 PALI  4627054.798   389395.149  4357997.350   43.223348997    4.483764761    60.382  0.0000     RGF93     B
 PAMO  4389716.061   316017.635  4601385.755   46.280063570    4.070352328   335.485  0.0000     RGF93     B
 PANA  4201030.695   175603.793  4780030.255   48.511677660    2.233688746   120.644  0.0000     RGF93     B
 PARD  4633957.822   228541.065  4362855.719   43.255292538    2.492448915   622.798  0.0000     RGF93     A
 PAYR  4626375.768   189029.269  4372370.052   43.330515400    2.202309655   384.772  0.0000     RGF93     B
 PDOM  4451595.386   230537.210  4548701.002   45.461962458    2.575241442  1513.554  0.0000     RGF93     B
 PERP  4689566.302   236092.078  4302248.506   42.412097228    2.525545997    95.948  0.0000     RGF93     B
 PERX  4334045.865   490447.960  4639564.729   46.573623461    6.272240014  1134.051  0.0000     RGF93     B
 PEYR  4624016.252    17406.684  4378738.461   43.375281752    0.125646123   294.823  0.0000     RGF93     B
 PIAA  4676351.570   709675.955  4265332.094   42.140603312    8.374539324   543.380  0.0000     RGF93     B
 PICO  4726256.091   754030.340  4201944.465   41.282190162    9.035262336    59.406  0.0000     RGF93     N
 PIER  3373248.245  4894475.014 -2304445.534  -21.191200880   55.253208274    24.832  0.0000     RGR92     N
 PIMI  4678892.704    11648.780  4324325.440   42.561114186    0.083352500  2923.432  0.0000     RGF93     B
 PLEM  4257323.752  -193174.100  4729721.650   48.101543892   -2.355275525   197.289  0.0720     RGF93     B
 PLGN  4219521.480  -274667.415  4759261.330   48.341537366   -3.432777720   187.313  0.0000     RGF93     N
 PLMG  4202753.680  -231708.686  4776174.661   48.480649386   -3.092041147   139.317  0.0000     RGF93     N
 PLST  4237320.833  -180312.763  4747978.916   48.250533275   -2.261199385   156.744  0.0000     RGF93     N
 PNTV  4265721.154  -218493.744  4721044.353   48.031626999   -2.555582805   153.076  0.0000     RGF93     N
 POBU  4396290.539   319778.157  4595006.307   46.225802012    4.093694948   420.861  0.0000     RGF93     A
 PPTG  2919953.953 -5384974.993  1770569.888   16.132771007  -61.315389549   -39.134  3.0710     WGS84     N
 PRAC  4555119.553    94456.034  4448748.695   44.303372203    1.111654281   168.522  0.0720     RGF93     N
 PRIE  4630632.093   435498.102  4350065.344   43.163632700    5.222174156   186.360  0.0000     RGF93     B
 PRNY  4339328.359   482005.683  4635194.179   46.541768154    6.201802689   883.555  0.0000     RGF93     A
 PRRS  4175265.603  -103281.647  4804442.440   49.112309378   -1.250123843    86.933  0.0000     RGF93     B
 PTRC  4335358.270    23126.136  4662552.754   47.162643597    0.182026956    89.624  0.0000     RGF93     B
 PUYA  4501028.727   511152.356  4477342.052   44.512759961    6.284421762  1690.280  0.0000     RGF93     B
 PUYO  4631305.284   -73849.038  4370204.380   43.313727959   -0.544874167    94.906  0.0000     RGF93     N
 PUYV  4504322.348   305404.962  4491277.151   45.023701428    3.524392696   710.346  0.0000     RGF93     B
 PZNA  4629717.387   276137.981  4363803.522   43.265187044    3.244803927    80.117  0.0000     RGF93     B
 QUYC  4489040.335   -76934.269  4515151.168   45.211568538   -0.585467056    59.152  0.0000     RGF93     N
 RAYL  4630120.224   527033.709  4340756.092   43.093783815    6.293792935   336.268  0.0000     RGF93     B
 RENN  4264988.984  -124149.170  4725020.075   48.063109667   -1.400244821    93.264  0.0000     RGF93     A
 REUN  3364099.232  4907944.363 -2293466.999  -21.122961699   55.341818633  1558.397  0.0610     RGR92     N
 RGNC  4339482.689    68797.942  4658369.594   47.130492073    0.542983801   146.224  0.0000     RGF93     B
 RIXH  4262372.031   551921.732  4697252.884   47.435981202    7.224081986   366.781  0.0000     RGF93     B
 ROMY  4168975.226   274617.374  4803422.475   49.102556718    3.460740724   274.197  0.0000     RGF93     B
 ROSD  4434268.240   515276.116  4542573.428   45.412935055    6.374161001  1694.489  0.0000     RGF93     B
 ROSI  4437552.686   533527.006  4537551.276   45.373053039    6.512075260  1880.035  0.0720     RGF93     B
 ROTG  4205958.055  -291581.358  4770000.277   48.430635980   -3.575662808    56.102  3.0895     RGF93     B
 ROYA  4466459.128   -79863.252  4537304.454   45.381905690   -1.012775858    69.048  0.0720     RGF93     B
 RST2  4579745.873   439663.945  4404112.224   43.562743265    5.290129784  1069.826  0.0000     RGF93     B
 RUPT  4223321.334   379769.483  4748815.661   48.254253295    5.081799204   255.907  0.0000     RGF93     N
 RYON  4381294.291  -109287.788  4618528.700   46.413546693   -1.254403948   126.625  0.0000     RGF93     B
 SAFQ  4593154.570   229660.932  4405090.848   43.573318302    2.514480231   374.540  0.0000     RGF93     N
 SAMR  4298947.697  -154192.634  4693483.348   47.410774614   -2.031503895   105.162  0.0000     RGF93     N
 SARI  4693639.002   777237.545  4233934.818   41.512996998    9.240901001    57.245  0.0000     RGF93     B
 SARL  4160873.091   513198.290  4790951.790   49.000914329    7.015267296   275.252  0.0000     RGF93     B
 SARZ  4309876.687  -208511.970  4681398.179   47.312814203   -2.461132296    83.804  0.0720     RGF93     B
 SAUN  4309740.980    70090.733  4685727.574   47.345281733    0.555425658   169.331  0.0000     RGF93     B
 SBLS  4288527.003   -24713.983  4705378.409   47.504099268   -0.194865253    97.452  0.0720     RGF93     B
 SCDA  4527128.471   258455.016  4471958.625   44.474027357    3.160294625  1115.360  0.0000     RGF93     B
 SCOA  4639940.872  -136225.480  4359552.014   43.234283476   -1.405405410    59.458  0.0000     RGF93     B
 SCOP  4705924.305   753839.598  4225888.721   41.451489308    9.060310460   928.011  0.0000     RGF93     B
 SEES  4226614.790    12629.117  4760950.314   48.353567990    0.101631702   251.176  0.0720     RGF93     B
 SEMU  4305508.026   326668.246  4679034.813   47.292565986    4.201983245   344.054  0.0000     RGF93     N
 SEUR  4340716.542   391333.297  4641509.416   46.593936285    5.090547745   245.160  0.0720     RGF93     B
 SGIL  4606571.414   357184.394  4382269.159   43.403723788    4.260142688    90.749  0.0720     RGF93     A
 SIRT  4213551.159   162494.270  4769661.553   48.424379310    2.123059722   217.425  0.0000     RGF93     B
 SJDA  4442299.096   -39491.648  4561368.788   45.565594187   -0.303362767    98.370  0.0000     RGF93     N
 SJDV  4433470.103   362672.574  4556211.483   45.524469363    4.403565922   432.411  0.0000     RGF93     A
 SJPL  4460967.746   209565.067  4539903.738   45.394767916    2.412268417  1029.096  0.0720     RGF93     B
 SLEU  3387826.301  4890457.740 -2291647.315  -21.114546744   55.171687838    27.679  0.0000     RGR92     N
 SMCR  4370414.965   446388.892  4609614.131   46.341017103    5.495483118   853.332  0.0000     RGF93     N
 SMLE  4405415.772   -17059.531  4596999.996   46.244015292   -0.131873579   170.463  0.0720     RGF93     B
 SMNE  4201792.295   177945.238  4779286.685   48.503999031    2.253006521   126.237  0.1390     RGF93     B
 SMSP  4169525.659   334108.189  4799103.427   49.065463094    4.345296159   199.877  0.0000     RGF93     B
 SMTG  4219871.173  -149386.877  4764321.772   48.382788388   -2.013889415    57.724  4.8121     RGF93     B
 SNTL  3387037.338  4890835.617 -2292337.043  -21.120800520   55.174682507   147.881  0.0000     RGR92     N
 SOLR  4520332.693   427178.498  4465049.301   44.424514324    5.235462947   491.932  0.0720     RGF93     N
 SOUS  4525022.243   160159.402  4477907.265   44.522865198    2.013752511   597.681  0.0000     RGF93     B
 SROS  3345961.784  4922536.901 -2284508.360  -21.073656635   55.474254025    27.421  0.0000     RGR92     N
 STAN  3362018.944  4919941.106 -2266740.019  -20.571682457   55.391235781    86.106  0.0000     RGR92     N
 STBR  4228886.495  -203375.706  4754509.199   48.302439088   -2.451205481   150.036  0.0000     RGF93     B
 STBX  4563292.647   334861.465  4428934.788   44.153392427    4.114894919   219.302  0.0720     RGF93     B
 STDE  3376868.519  4912498.141 -2260738.101  -20.534834767   55.294283098    49.311  0.0000     RGR92     N
 STFE  4466955.221   290982.129  4528973.633   45.313622980    3.433734816   592.237  0.0000     RGF93     B
 STGN  4480245.890   213455.713  4520888.524   45.250698908    2.433980318  1073.066  0.0000     RGF93     B
 STJ9  4186324.324   564809.057  4763029.156   48.371797238    7.410173074   237.156  0.0000     RGF93     B
 STJS  3355314.896  4903904.811 -2310586.266  -21.224611769   55.371042655    45.340  0.0000     RGR92     N
 STLO  4181969.787   -77013.598  4799216.149   49.070219748   -1.031806653   146.605  0.0720     RGF93     B
 STMA  4370430.683   126331.044  4628419.084   46.492024508    1.392060122   205.864  0.0000     RGF93     A
 STMR  4624017.159   357554.724  4363900.062   43.265691659    4.251786683    56.092  0.0000     RGF93     B
 STNA  4332469.276  -166663.615  4662299.051   47.161482518   -2.121078816    75.457  0.0000     RGF93     N
 STPM  2436208.256 -3634804.894  4624885.452   46.464016564  -56.100567977     0.473  3.0434   RGSPM06     N
 STPS  4406509.123   253613.297  4589213.359   46.183036728    3.173833279   299.692  0.0000     RGF93     B
 STS2  4612544.942   -45688.075  4390249.212   43.463490238   -0.340302264    95.000  0.0000     RGF93     N
 STV2  4526244.602   484214.361  4453762.786   44.340100294    6.062245374   814.654  0.0000     RGF93     A
 STVA  4366862.186   -17732.667  4633376.006   46.531660761   -0.135758197   158.547  0.0000     RGF93     B
 TANC  4152483.023    32940.040  4824974.281   49.282369969    0.271618452    66.000  0.0000     RGF93     B
 TANZ  4218727.808   552604.525  4735968.958   48.151768839    7.274534796   232.337  0.0000     RGF93     B
 TGRI  4203426.787   143030.782  4779110.217   48.502889540    1.565590382   191.447  0.0000     RGF93     B
 THNV  4137834.639   447344.736  4817173.468   49.215003009    6.101318523   212.230  0.0000     RGF93     B
 THOR  4415020.739   -19105.731  4587818.393   46.172963744   -0.145259270   162.192  0.0000     RGF93     B
 TLIA  4627797.127   119611.550  4373054.784   43.334117617    1.285000062   209.224  0.0000     RGF93     B
 TLMF  4627010.056   111069.213  4374122.859   43.342857490    1.223033956   221.032  0.0000     RGF93     B
 TLSE  4627852.066   119639.756  4372993.324   43.333849057    1.285119369   207.197  1.0530     RGF93     B
 TLSG  4628685.106   119996.725  4372110.023   43.325895081    1.290613134   208.761  0.4410     RGF93     B
 TLTG  4638276.780   480395.360  4337064.975   43.070256198    5.544734674    51.895  3.0785     RGF93     N
 TRBL  4227804.491    98926.739  4758909.087   48.335544876    1.202552632   260.728  0.0000     RGF93     B
 TREM  4347949.863   -60259.855  4650665.832   47.065729706   -0.473851769   166.428  0.0720     RGF93     B
 TRIG  4328841.835  -165576.452  4665659.682   47.185587223   -2.112570136    58.203  0.0720     RGF93     N
 TRMO  4568797.439   217443.674  4431416.815   44.170753463    2.432939945   810.908  0.0000     RGF93     B
 TRYS  4241042.103   297441.229  4738831.935   48.173927255    4.004252618   168.354  0.0000     RGF93     B
 TUDA  4639516.978   764908.579  4295569.702   42.361592750    9.214331047   457.646  0.0000     RGF93     B
 UNIX  4474022.741   333375.597  4519009.721   45.235894210    4.154118493   506.033  0.1440     RGF93     N
 UNME  4647640.709   -26415.799  4353754.994   43.191777778   -0.193233481   278.734  0.0000     RGF93     A
 UZER  4483437.566   122520.897  4520232.373   45.245706797    1.335528780   453.707  0.0000     RGF93     N
 VAUD  4338398.588   427436.877  4640534.947   46.585219106    5.373668221   271.509  0.0000     RGF93     A
 VDOM  4291445.036    79187.127  4702187.538   47.480579165    1.032563280   134.684  0.0720     RGF93     A
 VERN  4494475.401   253600.993  4504590.025   45.124053843    3.134617376   944.977  0.0000     RGF93     B
 VFCH  4331862.637   130055.210  4664121.616   47.173909147    1.431081426   153.240  0.0000     RGF93     B
 VILR  4491480.542   436581.781  4493805.749   45.042106448    5.330660410  1076.703  0.0000     RGF93     B
 VIN1  4291474.667   272023.220  4695041.903   47.422061596    3.373701542   164.311  0.0000     RGF93     B
 VISN  4553849.979   394343.419  4433760.104   44.191147474    4.565717971   245.746  0.0000     RGF93     A
 VLGN  4148099.229  -108022.865  4827662.477   49.303670977   -1.293023812    90.951  0.0000     RGF93     B
 VLPL  4206157.626   -90606.839  4778085.441   48.493601650   -1.140256107   258.501  0.0000     RGF93     B
 VNTE  4151126.783   201562.700  4822156.393   49.260068816    2.464756314   137.436  0.0000     RGF93     B
 VOUR  4449990.897   372170.187  4539271.526   45.394172343    4.465068161   324.863  0.0000     RGF93     B
 VOUZ  4145233.396   340230.547  4819493.116   49.234704613    4.413184326   167.496  0.0000     RGF93     N
 WLBH  4206976.331   542754.655  4748254.372   48.245460433    7.210465933   819.073  0.0000     RGF93     B
 YPOR  4130168.186    23140.415  4844107.449   49.441673477    0.191564380   134.175  0.0720     RGF93     B


# Fichier créé à partir d'un état de la base de données du RGP au 03/04/2018
